Date,Oil Open,Oil Close,OXY Open,OXY Close,OXY Volume
"Jan 31, 2025",73.3,72.53,48.19,46.65,"18,088,800"
"Jan 30, 2025",72.98,72.73,48.98,48.92,"6,061,100"
"Jan 29, 2025",73.95,72.62,48.74,48.83,"5,732,800"
"Jan 28, 2025",72.98,73.77,49.79,49,"7,280,600"
"Jan 27, 2025",74.54,73.17,49.21,49.56,"9,337,400"
"Jan 24, 2025",74.4,74.66,50.45,49.29,"12,603,800"
"Jan 23, 2025",75.43,74.62,50.4,50.34,"8,269,200"
"Jan 22, 2025",75.89,75.44,50.4,50.2,"9,095,200"
"Jan 21, 2025",77.54,75.83,51.45,50.55,"13,416,700"
"Jan 17, 2025",78.73,77.88,52.15,51.97,"7,852,700"
"Jan 16, 2025",80.3,78.68,52.3,52.3,"6,188,100"
"Jan 15, 2025",77.9,80.04,52.22,52.7,"11,068,300"
"Jan 14, 2025",78.8,77.5,52.44,52.08,"8,000,300"
"Jan 13, 2025",76.54,78.82,51.54,52.68,"13,921,600"
"Jan 10, 2025",74.28,76.57,52.2,51.3,"10,917,200"
"Jan 8, 2025",73.34,73.92,51,51.19,"7,460,500"
"Jan 7, 2025",74.51,73.32,50.99,51.55,"9,785,300"
"Jan 6, 2025",73.55,74.25,51.32,50.77,"10,215,500"
"Jan 3, 2025",74.06,73.56,50.01,50.51,"10,633,300"
"Jan 2, 2025",73.45,73.96,50.1,49.81,"11,808,200"
"Dec 31, 2024",71.9,73.13,48.55,49.41,"10,556,400"
"Dec 30, 2024",71.13,71.72,48.89,48.46,"10,123,500"
"Dec 27, 2024",70.34,70.99,48.2,48.56,"11,712,100"
"Dec 26, 2024",69.66,70.6,48.15,48.2,"11,247,100"
"Dec 24, 2024",70.33,69.62,47.97,48.12,"5,786,900"
"Dec 23, 2024",69.63,70.1,48,47.84,"16,857,600"
"Dec 20, 2024",69.4,69.24,46.25,47.13,"29,108,300"
"Dec 19, 2024",69.27,69.46,46.29,45.36,"18,592,100"
"Dec 17, 2024",70.34,70.58,46.19,46.56,"16,866,600"
"Dec 16, 2024",70.68,70.08,47.3,46.6,"14,145,500"
"Dec 13, 2024",71.28,70.71,48.13,47.64,"10,414,900"
"Dec 12, 2024",70.01,71.29,48.32,48.19,"7,557,700"
"Dec 11, 2024",70.46,70.02,48.18,48.47,"9,617,300"
"Dec 10, 2024",68.43,70.29,48.7,48.05,"10,054,000"
"Dec 9, 2024",68.21,68.59,48,48.72,"12,216,300"
"Dec 6, 2024",67.2,68.37,48.46,47.54,"16,583,800"
"Dec 5, 2024",68.43,67.2,49.1,48.48,"9,937,800"
"Dec 4, 2024",68.73,68.3,50.38,48.9,"14,729,200"
"Dec 3, 2024",69.99,68.54,50.87,50.4,"6,351,300"
"Dec 2, 2024",68.15,69.94,50.65,50.42,"8,008,100"
"Nov 29, 2024",68.2,68.1,50.4,50.58,"3,820,300"
"Nov 27, 2024",68.74,68,49.99,50.32,"6,828,000"
"Nov 26, 2024",68.96,68.72,50.19,49.85,"12,284,600"
"Nov 25, 2024",69.04,68.77,51.93,50.44,"13,813,000"
"Nov 22, 2024",71.32,68.94,51.7,51.93,"7,431,800"
"Nov 21, 2024",70.12,71.24,51,51.54,"8,156,100"
"Nov 20, 2024",69.04,70.1,50.5,50.91,"7,554,100"
"Nov 18, 2024",68.9,69.39,50.33,50.91,"12,004,800"
"Nov 15, 2024",66.96,69.16,50.47,49.97,"15,043,300"
"Nov 14, 2024",68.64,67.02,51.68,50.67,"13,340,700"
"Nov 13, 2024",68.06,68.7,50.76,51.12,"24,172,200"
"Nov 12, 2024",67.99,68.43,51.1,50.29,"12,197,400"
"Nov 11, 2024",68.19,68.12,50.31,50.81,"10,676,000"
"Nov 8, 2024",70.33,68.04,51.02,50.53,"13,729,900"
"Nov 7, 2024",72.17,70.38,51.48,51.21,"12,328,200"
"Nov 6, 2024",71.91,72.36,51.17,51.39,"20,203,700"
"Nov 5, 2024",71.97,71.69,50.7,50.4,"7,997,900"
"Nov 4, 2024",71.69,71.99,49.89,50.56,"9,668,500"
"Nov 1, 2024",70.02,71.47,50.5,49.57,"13,267,200"
"Oct 31, 2024",70.53,69.49,50.34,50.11,"10,964,100"
"Oct 30, 2024",69.07,69.26,50.33,50.17,"7,022,500"
"Oct 29, 2024",67.5,68.61,50.58,50.08,"8,425,600"
"Oct 28, 2024",67.99,67.21,50.5,50.63,"11,747,700"
"Oct 25, 2024",69.63,67.38,51.64,51.58,"8,825,300"
"Oct 24, 2024",70.35,71.78,51.33,51.35,"8,926,500"
"Oct 23, 2024",71.04,70.19,52,51.32,"8,185,500"
"Oct 22, 2024",71.3,70.77,52.14,52.1,"7,730,800"
"Oct 18, 2024",69.26,70.56,51.71,51.66,"9,433,700"
"Oct 17, 2024",70.75,69.22,51.25,51.72,"7,644,000"
"Oct 16, 2024",70.65,70.67,51.82,51.26,"8,507,400"
"Oct 15, 2024",71.03,70.39,52.69,51.56,"14,928,800"
"Oct 14, 2024",71.88,70.58,54.27,53.91,"10,175,800"
"Oct 11, 2024",75.24,73.83,54.35,54.76,"9,436,800"
"Oct 10, 2024",75.69,75.56,54.34,54.57,"7,234,200"
"Oct 9, 2024",73.36,75.85,53.8,53.9,"8,850,100"
"Oct 8, 2024",73.87,73.24,54.92,54.32,"13,771,600"
"Oct 7, 2024",77.3,73.57,55.98,55.91,"16,170,100"
"Oct 4, 2024",74.56,77.14,55.13,55.76,"14,388,300"
"Oct 3, 2024",73.81,74.38,53.53,54.79,"17,561,500"
"Oct 2, 2024",71.01,73.71,54.02,53.44,"22,803,300"
